names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
CSF1R,54.563248,1.7746843,0.0,0.0,0.07236915714365633
PDGFRB,54.53524,0.5531329,0.0,0.0,0.10814592455843237
SLPI,54.331413,4.0754514,0.0,0.0,0.060090958098754504
FABP5,53.67757,0.7957265,0.0,0.0,0.09086719151295078
EIF2S1,53.229187,0.5335991,0.0,0.0,0.09911559332550132
CD93,52.743877,0.7922181,0.0,0.0,0.09523900340234655
CD4,52.303226,2.4728823,0.0,0.0,0.06298854695899384
FAS,51.715714,0.45498627,0.0,0.0,0.09713788403541695
PLXDC2,50.925987,-0.040500857,0.0,0.0,0.19717399264604915
PLOD2,49.569256,0.39061043,0.0,0.0,0.10291208316169029
BCL6,48.940804,0.26571384,0.0,0.0,0.10408052728742963
IRF8,48.597977,1.1483399,0.0,0.0,0.07326742240463004
RUNX1,48.313084,0.90071696,0.0,0.0,0.0740741447090714
ICAM1,47.964294,0.5890486,0.0,0.0,0.0831260902511837
LSP1,46.625046,0.65496194,0.0,0.0,0.08444011310640852
C1QB,46.228348,3.6649802,0.0,0.0,0.05144714157118228
IL18,45.214306,0.32418227,0.0,0.0,0.09448504544090648
SEMA4D,44.225952,0.038108382,0.0,0.0,0.13530684690457664
HAVCR2,43.33982,0.49013618,0.0,0.0,0.08756338078309914
CHST11,43.12319,1.1696075,0.0,0.0,0.06192499580428116
CLDN1,42.915184,1.3076446,0.0,0.0,0.060332529789603774
CRKL,42.680042,0.0711782,0.0,0.0,0.11875791465145019
STAT6,41.812397,-0.19958568,0.0,0.0,0.23175879448097686
FCER1G,40.911186,2.7380393,0.0,0.0,0.048051787884798275
TRAC,39.72939,2.3696976,0.0,0.0,0.04948405372554404
PTPN6,39.29266,0.5678818,0.0,0.0,0.07310340794084291
CDH2,39.19651,0.48441696,0.0,0.0,0.07177349221122012
PTPRC,38.752098,1.4860442,0.0,0.0,0.05475158801600984
CD2,38.738964,2.3379333,0.0,0.0,0.04751778730502622
DOCK8,38.622864,0.29781184,0.0,0.0,0.08905095382674987
ITGB2,38.14277,2.4533799,0.0,0.0,0.0453156706284424
CXCR4,38.106422,1.4047477,0.0,0.0,0.053354922213915544
IL7R,37.90093,2.2187943,0.0,0.0,0.047641751725330445
CDKN1A,37.8506,0.95491654,0.0,0.0,0.059047114108295315
ITGA4,37.621098,1.5291027,9.7170174189295e-310,3.61563438843889e-309,0.05105045542620875
SEMA5A,37.28847,-0.026425602,2.523312256420431e-304,9.316845254475437e-304,0.11546236821628549
NT5E,37.268646,0.357571,5.286490827232045e-304,1.937034806924719e-303,0.07485607412945192
IL10RA,36.793118,1.2278689,2.3788042298894128e-296,8.650197199597864e-296,0.05352338668253411
ITGAL,36.50024,1.4985249,1.0993097335167699e-291,3.967433624722177e-291,0.04925837490909276
CDK4,36.413105,0.2724506,2.6408766597624776e-290,9.459856691686486e-290,0.08062645896586973
OAS3,36.33722,0.804126,4.182673719213955e-289,1.4871728779427397e-288,0.05811070594876646
NTN4,36.088234,-0.13494505,3.469196319271809e-285,1.2244222303312268e-284,0.16885161903890067
LYVE1,35.631203,1.6804153,4.6071985255810155e-278,1.614200943269261e-277,0.04869258858052474
SPI1,34.96823,1.5481381,6.842226375770956e-268,2.3627832088993227e-267,0.047760630425827316
CSF2RA,34.92831,1.3441241,2.7646242330368253e-267,9.478711656126257e-267,0.04887567449358945
SEMA6A,34.749065,0.012495573,1.4318151479243954e-264,4.8742643333596435e-264,0.08705608023231567
CCL21,34.442493,2.4630277,5.8328317503963544e-260,1.9716614367536972e-259,0.04249754614019295
PPP1R15B,32.59004,-0.3036004,5.676371831634718e-233,1.8790748132308034e-232,0.15013998443769738
IL17RA,31.771957,0.40006977,1.5798192532118719e-221,5.12373811852499e-221,0.0654881782443078
RIPK2,31.473845,0.5346597,1.9809087993099124e-217,6.381451165562134e-217,0.05579352486154128
ALDH1A2,31.195278,0.5136177,1.2347252810467725e-213,3.951120899349672e-213,0.06205976737917601
ITGAM,30.737736,1.8413233,1.7834888801379902e-207,5.669368625604207e-207,0.039350757009393326
ACSM3,30.139858,0.045706905,1.4567167050639223e-199,4.570091623729952e-199,0.08161753861332764
CREB5,29.843184,0.10823212,1.076190532223653e-195,3.3327190675313123e-195,0.06286648968361737
IFNGR2,29.570797,1.4558382,3.548739777450858e-192,1.091919931523341e-191,0.03959423584517035
LCP2,29.336906,1.6682054,3.510486187096096e-189,1.0732696622968956e-188,0.03850334894649314
SELENOK,29.127304,0.97029066,1.6197293192470468e-186,4.920696666066978e-186,0.04233416739138174
CX3CL1,29.118565,0.14966053,2.089794044944981e-186,6.3088122111546605e-186,0.06411058389149109
PLVAP,28.657568,0.66189533,1.2902185846128219e-180,3.870655753838466e-180,0.059682829084214434
IRF5,27.945023,0.75229174,7.577456303290118e-172,2.259117407192085e-171,0.04597554277344644
C4A,27.82858,-0.21192819,1.956899246121204e-170,5.798219988507271e-170,0.22149835476964233
FCGR3A,27.617804,2.906626,6.802054823540895e-168,2.003059089140877e-167,0.03160520574279481
CD3G,27.59991,1.9376388,1.1154509963829427e-167,3.2647346235598322e-167,0.035094645245614835
ITGAX,27.505949,0.94887865,1.490312013922519e-166,4.3354531314109643e-166,0.041406023526539826
FN1,27.425098,2.1130507,1.3770724059229031e-165,3.9818961135120093e-165,0.03441697308128506
CD209,27.29848,1.5365634,4.42166159416457e-164,1.2708967456281399e-163,0.0370520116564698
CD3E,27.122072,2.0004828,5.408086460772155e-162,1.5451675602206158e-161,0.03408830843873488
PFKP,27.064108,-0.22886896,2.6061000306062e-161,7.401940915331219e-161,0.11730276307157134
CD96,26.997028,1.4798942,1.601502964961658e-160,4.5218907245976223e-160,0.037296761922198655
CORO1A,25.565752,1.5090587,3.668657047319171e-144,1.0178932848053191e-143,0.03440807307162219
CLEC10A,25.375101,1.6675853,4.749817330898992e-142,1.3102944361100669e-141,0.033715779462846276
IL15,25.170797,0.21099155,8.367327266059414e-140,2.2950383358334394e-139,0.053276729271877495
CSF1,25.099768,0.5081644,5.0025570490278675e-139,1.364333740643964e-138,0.044569341246713357
TRBC2,24.895674,1.9726869,8.287867183754889e-137,2.247557202374207e-136,0.03224473500856944
ATF5,24.8085,0.5625488,7.258333159865337e-136,1.9573033240086302e-135,0.043868783343250485
FOXN3,24.688116,-0.12886147,1.4349407150936856e-134,3.8478857164523414e-134,0.09699484816583515
NPNT,24.674963,-0.057223674,1.9863681833410135e-134,5.296981822242702e-134,0.08624109363318737
